LC#,Problem Name,Difficulty,Why It's Hard (Solution Lens),Meta,Google,Amazon,Uber,Netflix,Pattern
149,Max Points on a Line,Hard,GCD-normalized slope hashing + collinear edge cases; deeper than it looks,✓,✓,✓,,,Arrays & Hashmaps
295,Find Median from Data Stream,Hard,Two-heap balancing with rebalance logic; classic system-design coding bridge,✓,✓,✓,,✓,Arrays & Hashmaps
381,Insert Delete GetRandom O(1) Duplicates,Hard,Index swap trick with duplicate tracking in two maps simultaneously,✓,✓,✓,,,Arrays & Hashmaps
1074,Number of Submatrices That Sum to Target,Hard,Compress rows to 1D prefix sum + hashmap; O(n^2*m) insight required,,✓,✓,,,Arrays & Hashmaps
2262,Total Appeal of a String,Hard,Contribution of each char across all substrings; non-obvious last-seen DP,✓,✓,✓,,,Arrays & Hashmaps
2671,Frequency Tracker,Hard,Maintaining two inverse maps in O(1) with correct rollback on decrement,✓,,✓,,,Arrays & Hashmaps
2642,Design Graph With Shortest Path Calculator,Hard,Dijkstra embedded in a mutable DS; tests graph + DS integration,,✓,✓,✓,,Arrays & Hashmaps
2354,Number of Excellent Pairs,Hard,Bit count property + binary search on frequency; O(64*n) insight,✓,✓,,,,Arrays & Hashmaps
41,First Missing Positive,Brutal,O(1) space cyclic-index trick is non-obvious; most candidates fail the space constraint,✓,✓,✓,,,Arrays & Hashmaps
460,LFU Cache,Brutal,Three-map design with min-freq tracking; rare full-interview problem,✓,,✓,,✓,Arrays & Hashmaps
895,Maximum Frequency Stack,Brutal,freq->stack map + per-element freq map; elegant but hard to derive,✓,✓,✓,,,Arrays & Hashmaps
42,Trapping Rain Water,Hard,"Two-pointer O(1) space; universally asked, wrong approach = instant fail",✓,✓,✓,✓,✓,Two Pointers
76,Minimum Window Substring,Hard,Sliding window with character frequency tracking; deceptively many edge cases,✓,✓,✓,✓,✓,Two Pointers
30,Substring with Concatenation of All Words,Hard,Multi-word sliding window with word-level frequency maps; complex indexing,✓,✓,✓,,,Two Pointers
632,Smallest Range Covering Elements from K Lists,Hard,Min-heap + max-tracking sweep across K lists; non-trivial heap usage,✓,✓,✓,,,Two Pointers
992,Subarrays with K Different Integers,Hard,"atMost(k) - atMost(k-1) trick; requires insight, not brute force",✓,✓,✓,,,Two Pointers
1793,Maximum Score of a Good Subarray,Hard,Two pointers expanding from index k while tracking min; ordering matters,✓,✓,✓,,,Two Pointers
2444,Count Subarrays With Fixed Bounds,Hard,"Track last invalid, last min, last max positions; O(n) with subtle counting",✓,✓,✓,,,Two Pointers
2565,Subsequence With the Minimum Score,Hard,Binary search on score + two-pass prefix/suffix matching; hard to see,✓,✓,,,,Two Pointers
2781,Length of the Longest Valid Substring,Hard,Sliding window + trie/set lookup; constraint on forbidden words tricky,✓,,✓,,,Two Pointers
2537,Count the Number of Good Subarrays,Hard,Sliding window with pair count maintained via frequency delta; O(n),✓,✓,✓,,,Two Pointers
1616,Split Two Strings to Make Palindrome,Hard,Two-pointer palindrome check from both ends simultaneously on two strings,,✓,✓,,,Two Pointers
238,Product of Array Except Self,Med-Hard,"Follow-up: O(1) extra space using output array as left-pass, then right-pass inline",✓,✓,✓,✓,✓,Prefix/Suffix Sum
523,Continuous Subarray Sum,Hard,Prefix mod + hashmap; off-by-one on length>=2 causes most failures,✓,✓,✓,,,Prefix/Suffix Sum
974,Subarray Sums Divisible by K,Hard,Modular prefix sum; negative mod handling is the tricky part,✓,✓,✓,,,Prefix/Suffix Sum
1542,Find Longest Awesome Substring,Hard,XOR bitmask prefix: at most one odd digit = bitmask within 1 flip,✓,✓,,,,Prefix/Suffix Sum
1915,Number of Wonderful Substrings,Hard,10-bit bitmask prefix XOR; count states within 1 bit flip; elegant insight,✓,✓,✓,,,Prefix/Suffix Sum
2025,Maximum Number of Ways to Partition an Array,Hard,Prefix/suffix sum maps + difference counting for each pivot candidate,✓,✓,✓,,,Prefix/Suffix Sum
2488,Count Subarrays With Median K,Hard,Map elements to +1/-1 relative to k; prefix balance + hashmap counting,✓,✓,✓,,,Prefix/Suffix Sum
2302,Count Subarrays With Score Less Than K,Hard,Binary search on prefix sum for each right boundary; monotonic property,,✓,✓,,,Prefix/Suffix Sum
1074,Number of Submatrices That Sum to Target,Hard,Row-compressed 2D prefix sum + hashmap; O(n^2*m),,✓,✓,,,Prefix/Suffix Sum
2281,Sum of Total Strength of Wizards,Brutal,Prefix of prefix sums + monotonic stack for subarray boundaries; multi-layered,✓,✓,✓,,,Prefix/Suffix Sum
76,Minimum Window Substring,Hard,Core window; required for every senior LC prep,✓,✓,✓,✓,✓,Sliding Window
239,Sliding Window Maximum,Hard,Monotonic deque; must know cold; real-time stream interview staple,✓,✓,✓,✓,✓,Sliding Window
340,Longest Substring with At Most K Distinct,Hard,Freq map window; asked verbatim at Meta/Google phone screens,✓,✓,✓,✓,,Sliding Window
992,Subarrays with K Different Integers,Hard,Exact-K = atMost(K) - atMost(K-1); insight-gated problem,✓,✓,✓,,,Sliding Window
1438,Longest Continuous Subarray Abs Diff <= Limit,Hard,Two monotonic deques (max + min) sliding together,,✓,✓,,✓,Sliding Window
1696,Jump Game VI,Hard,Deque DP: max window of size k over DP values; elegant O(n),✓,✓,✓,,,Sliding Window
2398,Maximum Number of Robots Within Budget,Hard,Sliding window with deque for max charge + prefix sum for run cost,✓,✓,✓,,,Sliding Window
30,Substring with Concatenation of All Words,Hard,"Word-level sliding window; |word| starting offsets, each needs own map",✓,✓,✓,,,Sliding Window
2747,Count Zero Request Servers,Hard,Sliding window over time-sorted queries with server tracking,,✓,✓,,,Sliding Window
480,Sliding Window Median,Brutal,Two heaps with lazy deletion; heap index tracking is brutal to implement,,✓,✓,,✓,Sliding Window
84,Largest Rectangle in Histogram,Hard,Canonical monotonic stack; all rectangle DP problems trace to this,✓,✓,✓,✓,✓,Stack & Monotonic Stack
85,Maximal Rectangle,Hard,Reduce to histogram per row then LC84; 2D compound insight,✓,✓,✓,,✓,Stack & Monotonic Stack
316,Remove Duplicate Letters,Hard,Greedy monotonic stack with last-occurrence tracking; tricky invariant,✓,✓,✓,,,Stack & Monotonic Stack
402,Remove K Digits,Hard,Monotonic stack to get lexicographic min; trailing zeros and remainder,✓,✓,✓,✓,,Stack & Monotonic Stack
456,132 Pattern,Hard,Monotonic stack from right + running min from left; 3-pointer insight,✓,✓,✓,,,Stack & Monotonic Stack
907,Sum of Subarray Minimums,Hard,Contribution counting with prev/next smaller; stack boundaries critical,✓,✓,✓,,,Stack & Monotonic Stack
2104,Sum of Subarray Ranges,Hard,Max contribution - Min contribution; needs two separate stack passes,✓,,✓,,,Stack & Monotonic Stack
2289,Steps to Make Array Non-decreasing,Hard,Monotonic stack where each node stores rounds needed; subtle accumulation,,✓,✓,,,Stack & Monotonic Stack
1776,Car Fleet II,Hard,Monotonic stack from right; collision time with faster-behind slower logic,✓,✓,✓,,,Stack & Monotonic Stack
2751,Robot Collisions,Hard,Left right collisions with index tracking and sorting,,,✓,,,Stack & Monotonic Stack
1130,Minimum Cost Tree From Leaf Values,Hard,Monotonic stack greedy; counter-intuitive non-DP optimal approach,,✓,✓,,,Stack & Monotonic Stack
2281,Sum of Total Strength of Wizards,Brutal,Prefix of prefix sums + monotonic stack; hardest stack problem on LC,✓,✓,✓,,,Stack & Monotonic Stack
33,Search in Rotated Sorted Array,Hard,Identify sorted half then recurse; rotation pivot tracking under pressure,✓,✓,✓,✓,✓,Binary Search
410,Split Array Largest Sum,Hard,Binary search on answer space + greedy feasibility check; classic BS-on-answer,✓,✓,✓,✓,,Binary Search
719,Find K-th Smallest Pair Distance,Hard,Sort + BS on distance + two-pointer count of pairs <= mid,✓,✓,✓,,,Binary Search
774,Minimize Max Distance to Gas Station,Hard,BS on real answer with floating-point feasibility check; interval count greedy,,✓,,✓,,Binary Search
878,Nth Magical Number,Hard,BS + inclusion-exclusion with LCM; modular arithmetic under constraints,,✓,✓,,,Binary Search
1231,Divide Chocolate,Hard,BS on min sweetness + greedy segment count; premium but conceptually clean,✓,✓,✓,,,Binary Search
1802,Maximum Value at a Given Index in a Bounded Array,Hard,BS on peak value + arithmetic sum feasibility for both sides,,✓,✓,,,Binary Search
2528,Maximize the Minimum Powered City,Hard,BS on min power + greedy suffix placement of additional stations,,✓,✓,,,Binary Search
1482,Minimum Number of Days to Make m Bouquets,Hard,Classic BS on answer; feasibility with consecutive bloom counting,✓,✓,✓,,,Binary Search
4,Median of Two Sorted Arrays,Brutal,"O(log(min(m,n))) binary search on partition; hardest BS problem, asked cold",✓,✓,✓,✓,✓,Binary Search
668,Kth Smallest Number in Multiplication Table,Brutal,BS + counting rows <= mid; row-by-row min trick for exact count,,✓,✓,,,Binary Search
2071,Maximum Number of Tasks You Can Assign,Brutal,BS on task count + greedy deque assignment of pills; multi-layer,✓,✓,✓,,,Binary Search
23,Merge K Sorted Lists,Hard,Min-heap of k heads; universally asked in every FAANG loop,✓,✓,✓,✓,✓,Linked Lists
25,Reverse Nodes in k-Group,Hard,Iterative reversal with careful pointer bookkeeping; clean code under pressure,✓,✓,✓,,✓,Linked Lists
138,Copy List with Random Pointer,Hard,Interleaving approach or hashmap; O(1) space interleave is the hard variant,✓,✓,✓,✓,✓,Linked Lists
146,LRU Cache,Hard,DLL + hashmap; sentinel nodes avoid null checks; coding signal problem,✓,✓,✓,✓,✓,Linked Lists
1171,Remove Zero Sum Consecutive Nodes,Hard,Prefix sum on LL + hashmap; tricky to handle consecutive zeros,✓,✓,✓,,,Linked Lists
708,Insert into a Sorted Circular Linked List,Hard,"Handle wrap-around edge cases: all same, new min, new max, interior",✓,,,✓,,Linked Lists
2074,Reverse Nodes in Even Length Groups,Hard,Length calculation + selective reversal on LL; tedious pointer management,✓,,,,,Linked Lists
2816,Double a Number Represented as Linked List,Hard,Reverse + propagate carry without extra space; simpler but clean code tested,✓,,✓,,,Linked Lists
432,All O`one Data Structure,Brutal,DLL of frequency buckets + two maps; full design interview problem,,✓,✓,,✓,Linked Lists
460,LFU Cache,Brutal,Three maps + min_freq tracking; hardest cache design on LC,✓,,✓,,✓,Linked Lists
1206,Design Skiplist,Brutal,Probabilistic layered list; rare to be asked but devastating if unprepared,,✓,✓,,,Linked Lists
124,Binary Tree Maximum Path Sum,Hard,Global max updated during DFS; must not return full path up if it's negative,✓,✓,✓,✓,✓,Trees
297,Serialize and Deserialize Binary Tree,Hard,BFS or preorder string + stream reader; asked cold at every FAANG onsite,✓,✓,✓,✓,✓,Trees
652,Find Duplicate Subtrees,Hard,Canonical serialization hashing in postorder; map of serialized to count,✓,✓,✓,,,Trees
1028,Recover a Tree From Preorder Traversal,Hard,Stack-based depth parsing from dashes; reconstruct without explicit tree,,✓,✓,,,Trees
1373,Maximum Sum BST in Binary Tree,Hard,"Post-order: validate BST subtree + track sum, min, max; 4-tuple return",✓,✓,✓,,,Trees
2458,Height of Binary Tree After Subtree Removal Queries,Hard,Pre-compute best alternative heights at each depth; two DFS passes,✓,✓,✓,,,Trees
2096,Step-By-Step Directions From Binary Tree Node to Another,Hard,LCA + path reconstruction with direction encoding; clean code matters,✓,✓,✓,,,Trees
437,Path Sum III,Hard,Prefix sum on root-to-node paths + hashmap; O(n) not O(n^2),✓,✓,✓,,,Trees
428,Serialize and Deserialize N-ary Tree,Brutal,Children-count encoding + DFS reconstruction; harder variant of 297,✓,,✓,,,Trees
968,Binary Tree Cameras,Brutal,Greedy post-order DFS with 3-state; optimal camera placement hard to derive,✓,✓,✓,,,Trees
1483,Kth Ancestor of a Tree Node,Brutal,"Binary lifting (sparse table on tree); log(n) per query, O(n log n) build",✓,✓,✓,,,Trees
1569,Number of Ways to Reorder Array to Get Same BST,Brutal,"Recursive combinatorics: C(left+right, left) x subtree counts; modular math",,✓,✓,,,Trees
218,The Skyline Problem,Hard,Max-heap of active buildings with lazy removal; event sweep + critical points,✓,✓,✓,,✓,Heaps / Priority Queues
295,Find Median from Data Stream,Hard,Two heaps; rebalance on every insert; foundational streaming data problem,✓,✓,✓,,✓,Heaps / Priority Queues
358,Rearrange String k Distance Apart,Hard,Max-heap + cooldown queue of size k; placement with frequency decrement,,✓,✓,,✓,Heaps / Priority Queues
407,Trapping Rain Water II,Hard,Min-heap BFS (Dijkstra-like); expand from boundaries inward with water level,✓,✓,✓,,,Heaps / Priority Queues
632,Smallest Range Covering Elements from K Lists,Hard,Min-heap of current elements + running max; advance from smallest list,✓,✓,✓,,,Heaps / Priority Queues
759,Employee Free Time,Hard,Heap merge of all intervals then gap detection; or sort + linear scan,,✓,,✓,✓,Heaps / Priority Queues
1383,Maximum Performance of a Team,Hard,Sort by efficiency desc; min-heap of speed size k; classic greedy+heap combo,✓,✓,✓,,,Heaps / Priority Queues
2163,Minimum Difference in Sums After Removal of Elements,Hard,Max-heap prefix min-sums + min-heap suffix max-sums; combine at split,✓,✓,✓,,,Heaps / Priority Queues
2402,Meeting Rooms III,Hard,"Two heaps: available rooms + in-use (end_time, room_id); priority logic",✓,✓,✓,✓,,Heaps / Priority Queues
2542,Maximum Subsequence Score,Hard,Sort by second array desc; min-heap of size k on first array; running sum,✓,✓,✓,,,Heaps / Priority Queues
480,Sliding Window Median,Brutal,Two heaps + lazy deletion via removal set; rebalance on every slide,,✓,✓,,✓,Heaps / Priority Queues
857,Minimum Cost to Hire K Workers,Brutal,Sort by wage/quality ratio; max-heap of quality sum; O(n log k) insight,,✓,✓,,✓,Heaps / Priority Queues
1675,Minimize Deviation in Array,Brutal,"Max-heap: multiply odds to make even, then divide; track running min",,✓,✓,,,Heaps / Priority Queues
51,N-Queens,Hard,"Diagonal bitmask backtrack; 3 bitsets (col, diag1, diag2); O(n!) pruned",✓,✓,✓,,✓,Backtracking
140,Word Break II,Hard,Memoized backtrack; result lists memoized at each index; exponential without memo,✓,✓,✓,✓,✓,Backtracking
212,Word Search II,Hard,Trie-pruned DFS backtrack; delete found words from Trie to avoid duplicate paths,✓,✓,✓,,,Backtracking
282,Expression Add Operators,Hard,Backtrack with prev_operand tracking for * undo; overflow with long arithmetic,✓,✓,✓,,,Backtracking
301,Remove Invalid Parentheses,Hard,BFS level-by-level removal; or backtrack with counts; tricky dedup,✓,,✓,,,Backtracking
980,Unique Paths III,Hard,Bitmask backtrack on grid; visit all non-obstacle cells exactly once,,✓,✓,,,Backtracking
1255,Maximum Score Words Formed by Letters,Hard,Bitmask subset backtrack; check feasibility per letter frequency,✓,✓,✓,,,Backtracking
37,Sudoku Solver,Brutal,Constraint propagation + backtrack; bitmask row/col/box for O(1) valid check,✓,✓,✓,,,Backtracking
425,Word Squares,Brutal,Trie prefix pruning in backtrack; word[i][j]=word[j][i] constraint,,✓,,,,Backtracking
1349,Maximum Students Taking Exam,Brutal,Bitmask DP row by row; valid state masks + cross-row diagonal constraints,,✓,✓,,,Backtracking
2060,Check if Original String Exists Given Two Encoded Strings,Brutal,"Backtrack on two pointers with offset difference state; memoize (i,j,diff)",,✓,,,,Backtracking
212,Word Search II,Hard,Trie insert all words; DFS backtrack with in-place mark; delete from Trie on found,✓,✓,✓,,,Trie
421,Maximum XOR of Two Numbers,Hard,Binary Trie from MSB; greedy opposite-bit traversal for max XOR,✓,✓,✓,,,Trie
472,Concatenated Words,Hard,Trie + DP or DFS memo; word must be formed by 2+ shorter words in set,✓,✓,✓,,,Trie
642,Design Search Autocomplete System,Hard,Trie nodes store top-3 by freq; DFS at end of input or return path results,✓,✓,✓,✓,✓,Trie
745,Prefix and Suffix Search,Hard,Combined Trie key: suffix#word; insert all suffix+word combos per word,,✓,✓,,,Trie
1032,Stream of Characters,Hard,Aho-Corasick (reversed Trie + BFS fail links); match suffixes in stream,✓,✓,✓,,,Trie
2416,Sum of Prefix Scores of Strings,Hard,Trie with passing-count at each node; sum counts on root-to-leaf path,✓,✓,✓,,,Trie
336,Palindrome Pairs,Brutal,Trie or hashmap: split each word into prefix/suffix; check reversed counterpart palindrome,,✓,✓,,,Trie
425,Word Squares,Brutal,Trie with prefix to words index; backtrack with prefix constraint,,✓,,,,Trie
1707,Maximum XOR With an Element From Array,Brutal,Offline queries sorted by limit; add elements <= limit to Trie then query XOR,,✓,✓,,,Trie
1803,Count Pairs With XOR in a Range,Brutal,Trie counting: pairs with XOR < high minus pairs < low; prefix node counts,,✓,✓,,,Trie
127,Word Ladder,Hard,BFS with wildcard neighbor generation; O(M^2*N) with pattern caching,✓,✓,✓,✓,✓,Graphs
269,Alien Dictionary,Hard,Topological sort from adjacent word char pairs; cycle = invalid,✓,✓,✓,✓,,Graphs
310,Minimum Height Trees,Hard,Topological leaf-removal (like BFS from leaves inward); 1 or 2 roots remain,✓,✓,✓,,,Graphs
329,Longest Increasing Path in Matrix,Hard,DFS + memoization on DAG; no need for visited since increasing direction prevents cycles,✓,✓,✓,✓,✓,Graphs
399,Evaluate Division,Hard,Weighted graph BFS/DFS; edge weight = ratio; product of path weights,✓,✓,✓,✓,,Graphs
815,Bus Routes,Hard,BFS on route-level graph (not stop-level); stops to routes map to build hypergraph,✓,✓,,,,Graphs
1192,Critical Connections in a Network,Hard,Tarjan bridge-finding; low-link values; asked at Amazon infra rounds,✓,,✓,,✓,Graphs
1345,Jump Game IV,Hard,BFS with value to indices grouping; clear groups after visiting to avoid TLE,✓,✓,✓,,,Graphs
2876,Count Visited Nodes in a Directed Graph,Hard,Functional graph: detect cycle nodes then back-propagate distances,✓,✓,✓,,,Graphs
1514,Path with Maximum Probability,Hard,Dijkstra with max-heap on probability; log-transform to additive if needed,,✓,✓,✓,,Graphs
126,Word Ladder II,Brutal,BFS shortest path + DFS path reconstruction; hardest BFS problem asked,✓,✓,✓,,,Graphs
2097,Valid Arrangement of Pairs,Brutal,Eulerian path: find start node (out-in=1); Hierholzer DFS post-order,,✓,✓,,,Graphs
332,Reconstruct Itinerary,Hard,Hierholzer Eulerian path; lexicographic ordering via sorted adjacency list,✓,✓,,✓,,Advanced Graphs
778,Swim in Rising Water,Hard,Dijkstra on grid (cost = max cell value on path); or binary search + BFS,,✓,✓,,,Advanced Graphs
1293,Shortest Path in Grid with Obstacles Elimination,Hard,"BFS with state (x,y,k_remaining); visited[x][y][k] to prune",✓,✓,✓,,,Advanced Graphs
1368,Minimum Cost to Make at Least One Valid Path in Grid,Hard,"0-1 BFS: free move along arrow=0 cost, changing direction=1 cost",,✓,✓,,,Advanced Graphs
2492,Minimum Score of Path Between Two Cities,Hard,DSU or BFS to find all edges in connected component of 1; min edge weight,,✓,✓,,,Advanced Graphs
2577,Minimum Time to Visit a Cell In a Grid,Hard,Dijkstra with wait-time parity trick; must handle forced back-and-forth,✓,✓,✓,,,Advanced Graphs
882,Reachable Nodes In Subdivided Graph,Hard,Dijkstra; for each edge count reachable sub-nodes from each end within budget,,✓,,,,Advanced Graphs
753,Cracking the Safe,Brutal,De Bruijn sequence via Eulerian circuit on (n-1)-digit nodes; DFS post-order,,✓,,,,Advanced Graphs
1489,Find Critical and Pseudo-Critical Edges in MST,Brutal,Kruskal MST weight; brute force include/exclude each edge; O(E^2 * alpha(V)),,✓,✓,,,Advanced Graphs
2203,Minimum Weighted Subgraph With Required Paths,Brutal,"3 Dijkstra runs (src1, src2, dst reversed); combine at each meeting node",✓,✓,✓,,,Advanced Graphs
